Условная часть: подчиняющий узел и его ограничения;;;;;;Командная часть: подчиненному узлу назначить следующие признаки;;
Каноническая форма узла;полярность;ЭО1;Временной план;В форме пассивного причастия;Ограничения по типу связи с подчиненным узлом;ЭО подчиненного узла;Временной план;
Возможные значения:;+, -;0, 1, нефактивно;будущее, небудущее;;;f+, f-, f?, undef;будущее, небудущее, аналогично с временным планом подчиняющего узла;
;;;;;;;;
говорить;+;1;небудущее;;"для придаточных с ""что""";;;
говориться;+;1;небудущее;;"для придаточных с ""что""";;;
сказать;+;1;небудущее;;"для придаточных с ""что""";;;
рассказать;+;1;небудущее;;"для придаточных с ""что""";;;
заявить;+;1;небудущее;;"для придаточных с ""что""";;;
заявление;;1;;;"для придаточных с ""что""";;;
сообщить;+;1;небудущее;;"для придаточных с ""что""";;;
сообщение;;1;;;"для придаточных с ""что""";;;
сообщаться;+;1;небудущее;;"для придаточных с ""что""";;;
отметить;+;1;небудущее;;"для придаточных с ""что""";;;
отмечаться;+;1;небудущее;;"для придаточных с ""что""";;;
призвать;+;1;небудущее;;"для придаточных с ""что""";;;
писать;+;1;небудущее;;"для придаточных с ""что"""
передавать;+;1;небудущее;;"для придаточных с ""что"""
объявить;+;1;небудущее;;"для придаточных с ""что"""
напомнить;+;1;небудущее;;"для придаточных с ""что"""
поведать;+;1;небудущее;;"для придаточных с ""что"""
указать ;+;1;небудущее;;"для придаточных с ""что"""
указывать;+;1;небудущее;;"для придаточных с ""что"""
предупредить;+;1;небудущее;;"для придаточных с ""что"""
подтвердить ;+;1;небудущее;;"для придаточных с ""что"""
информировать;+;1;небудущее;;"для придаточных с ""что"""
объяснить;+;1;небудущее;;"для придаточных с ""что"""
считать;+;1;небудущее;;"для придаточных с ""что"""
думать;+;1;небудущее;;"для придаточных с ""что"""
полагать;+;1;небудущее;;"для придаточных с ""что"""
подозревать;+;1;небудущее;;"для придаточных с ""что"""
подозрение;;1;;;"для придаточных с ""что"""
считать;+;1;небудущее;;"для придаточных с ""что""";
рассчитывать;+;1;небудущее;;"для придаточных с ""что""";
утверждать;+;1;небудущее;;"для придаточных с ""что""";
утверждение;;1;небудущее;;"для придаточных с ""что""";
полагать;+;1;небудущее;;"для придаточных с ""что""";
высказать надежду;+;1;небудущее;;"для придаточных с ""что""";
надеяться;+;1;небудущее;;"для придаточных с ""что""";
надежда;;1;;;"для придаточных с ""что""";
высказаться;;;;;;
высказываться;;;;;;
;;;;;;
говорить ;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
сказать;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
рассказать;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
заявить;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
заявление;;;;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
сообщить;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
сообщение;;;;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
сообщаться;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
писать;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
объявить;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
напомнить;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
поведать;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
предупредить;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
информировать;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
объяснить;+;1;небудущее;;"для обстоятельственных придаточных (""когда"", ""куда"", ""зачем"") и определительных (""какие"")";f+
;;;;;;
отрицать;+;1;небудущее;;;f-
отвергать;+;1;небудущее;;;f-
;;;;;;
жалеть;;1;небудущее;;;f+
комментировать;;1;небудущее;;;f+
назвать;;1;небудущее;;;f+
критиковать;;1;небудущее;;;f+
осудить;;1;небудущее;;;f+
порицать;;1;небудущее;;;f+
осмеять;;1;небудущее;;;f+
высмеять;;1;небудущее;;;f+
выболтать;;1;небудущее;;;f+
разболтать;;1;небудущее;;;f+
разгласить;;1;небудущее;;;f+
обличать;;1;небудущее;;;f+
изобличать;;1;небудущее;;;f+
умолчать;;1;небудущее;;;f+
молчать;;1;небудущее;;;f+
помалкивать;;1;небудущее;;;f+
замалчивать;;1;небудущее;;;f+
раскаяться;;1;небудущее;;;f+
признаться;;1;небудущее;;;f+
сознаться;;1;небудущее;;;f+
рад;;1;небудущее;;;f+
радоваться;;1;небудущее;;;f+
восторгаться;;1;небудущее;;;f+
досадить;;1;небудущее;;;f+
задеть;;1;небудущее;;;f+
изумить;;1;небудущее;;;f+
извиниться;;1;небудущее;;;f+
благодарить;;1;небудущее;;;f+
бранить;;1;небудущее;;;f+
ругать;;1;небудущее;;;f+
поздравить;;1;небудущее;;;f+
заинтересовать;;1;небудущее;да;;f+
удивить;;1;небудущее;да;;f+
возмутить;;1;небудущее;да;;f+
огорчить;;1;небудущее;да;;f+
взволновать;;1;небудущее;да;;f+
опечалить;;1;небудущее;да;;f+
подавлять;;1;небудущее;да;;f+
поразить;;1;небудущее;да;;f+
прельстить;;1;небудущее;да;;f+
обрадовать;;1;небудущее;да;;f+
смутить;;1;небудущее;да;;f+
;;;;;;
прийтись;+;1;небудущее;;;f+
заставить;+;1;небудущее;;;f+
смочь;+;1;небудущее;;;f+
;;;;;;
знать;;1;небудущее;;;f+
узнать;;1;небудущее;;;f+
признать;;1;небудущее;;;f+
признание;;1;небудущее;;;f+
помнить;;1;небудущее;;;f+
вспомнить;;1;небудущее;;;f+
воспоминание;;1;небудущее;;;f+
забыть;;1;небудущее;;;f+
напомнить;;1;небудущее;;;f+
напоминание;;1;небудущее;;;f+
догадаться;;1;небудущее;;;f+
догадка;;1;небудущее;;;f+
понять;;1;небудущее;;;f+
выяснить;;1;небудущее;;;f+
осознать;;1;небудущее;;;f+
осознание;;1;небудущее;;;f+
проверить;;1;небудущее;;;f+
;;;;;;
заставить;+;1;небудущее;;;f+
суметь;+;1;небудущее;;;f+
удастся;+;1;небудущее;;;f+
осмелиться;+;1;небудущее;;;f+
успеть;+;1;небудущее;;;f+
спровоцировать;+;1;небудущее;;;f+
догадаться;+;1;небудущее;;;f+
;;;;;;
помешать ;-;1;небудущее;;;f+
избежать ;-;1;небудущее;;;f+
забыть;-;1;небудущее;;;f+
постесняться ;-;1;небудущее;;;f+
постыдиться;-;1;небудущее;;;f+
побояться;-;1;небудущее;;;f+
полениться;-;1;небудущее;;;f+
;;;;;;
предчувствовать;+;1;небудущее;;;f-
предчувствие;;;;;;f-
сниться;+;1;небудущее;;;f-
присниться;+;1;небудущее;;;f-
чудиться;+;1;небудущее;;;f-
почудиться;+;1;небудущее;;;f-
казаться;+;1;небудущее;;;f-
показаться;+;1;небудущее;;;f-
мерещиться;+;1;небудущее;;;f-
примерещиться;+;1;небудущее;;;f-
мечтать;+;1;небудущее;;;f-
размечтаться;+;1;небудущее;;;f-
;;;;;;
догадаться;-;1;небудущее;;инф;f-
решиться;-;1;небудущее;;инф;f-
согласиться;-;1;небудущее;;инф;f-
допустить;-;1;небудущее;;инф;f-
пытаться;-;1;небудущее;;инф;f-
попытаться;-;1;небудущее;;инф;f-
;;;;;;
лгать ;+;1;небудущее;;;f-
лгать;-;1;небудущее;;;f+
врать ;+;1;небудущее;;;f-
врать;-;1;небудущее;;;f+
наврать ;+;1;небудущее;;;f-
наврать;-;1;небудущее;;;f+
заблуждаться  ;+;1;небудущее;;;f-
заблуждаться;-;1;небудущее;;;f+
ошибаться ;+;1;небудущее;;;f-
ошибаться;-;1;небудущее;;;f+
;;;;;;
;;;;;;
суметь;+;1;небудущее;;;f+
суметь;-;1;небудущее;;;f-
успеть;+;1;небудущее;;;f+
успеть;-;1;небудущее;;;f-
добиться;+;1;небудущее;;;f+
добиться;-;1;небудущее;;;f-
удаться;+;1;небудущее;;;f+
удаться;-;1;небудущее;;;f-
осмелиться;+;1;небудущее;;;f+
осмелиться;-;1;небудущее;;;f-
вызвать;+;1;небудущее;;;f+
вызвать;-;1;небудущее;;;f-
заставить;+;1;небудущее;;;f+
заставить;-;1;небудущее;;;f-
пришлось;+;1;небудущее;;;f+
пришлось;-;1;небудущее;;;f-
иметь несчастье;+;1;небудущее;;;f+
счесть уместным;+;1;небудущее;;;f+
;;;;;;
отменить;+;1;небудущее;;;f-
отрицает;+;1;небудущее;;;f-
опровергнуть;+;1;небудущее;;;f-
предотвратить;+;1;небудущее;;;f-
маловероятно;+;1;небудущее;;;f-
сомнительно;+;1;небудущее;;;f-
невозможно;+;1;небудущее;;;f-
речь не идет о;;1;небудущее;;;f-
отказаться;+;1;небудущее;;;f-
;;;;;;
видеть;+;1;небудущее;;"с придаточными на ""что""*";
видеть;+;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+
видеть;-;1;небудущее;;"с придаточными на ""что""*";
видеть;-;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+
увидеть;+;1;небудущее;;;f+
заметить;+;1;небудущее;;"с придаточными на ""что""*";
заметить;+;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+
заметить;-;1;небудущее;;"с придаточными на ""что""*";
заметить;-;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+
слышать;+;1;небудущее;;"с придаточными на ""что""*";
слышать;+;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+
слышать;-;1;небудущее;;"с придаточными на ""что""*";
слышать;-;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+
ощутить;+;1;небудущее;;"с придаточными на ""что""*";
ощутить;+;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+
ощутить;-;1;небудущее;;"с придаточными на ""что""*";
ощутить;-;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+
обнаружить;+;1;небудущее;;"с придаточными на ""что""*";
обнаружить;+;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+
обнаружить;-;1;небудущее;;"с придаточными на ""что""*";
обнаружить;-;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+;
показать;+;1;небудущее;;"с придаточными на ""что""*";;
показать;+;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+;
показать;-;1;небудущее;;"с придаточными на ""что""*";;
показать;-;1;небудущее;;"с придаточными на ""когда"", ""куда"", ""зачем"", ""какой"" и пр";f+;
;;;;;;;
начать;+;;;;;f+;
начало;+;;;;;f+;
начаться;+;;;;;f+;
возобновить;+;;;;;f+;
возобновиться;+;;;;;f+;
возобновлять;+;;;;;f+;
возобновляться;+;;;;;f+;
возобновление;;;;;;f+;
закончить;;;;;;f+;аналогично с временным планом подчиняющего узла
заканчивать;;;;;;f+;аналогично с временным планом подчиняющего узла
закончиться;;;;;;f+;аналогично с временным планом подчиняющего узла
заканчиваться;;;;;;f+;аналогично с временным планом подчиняющего узла
конец;;;;;;f+;аналогично с временным планом подчиняющего узла
окончить;;;;;;f+;аналогично с временным планом подчиняющего узла
окончиться;;;;;;f+;аналогично с временным планом подчиняющего узла
оканчивать;;;;;;f+;аналогично с временным планом подчиняющего узла
оканчиваться;;;;;;f+;аналогично с временным планом подчиняющего узла
завершить;;;;;;f+;аналогично с временным планом подчиняющего узла
завершение;;;;;;f+;аналогично с временным планом подчиняющего узла
завершать;;;;;;f+;аналогично с временным планом подчиняющего узла
завершаться;;;;;;f+;аналогично с временным планом подчиняющего узла
завершиться;;;;;;f+;аналогично с временным планом подчиняющего узла
продолжить;;;;;;f+;
продолжение;;;;;;f+;
продолжать;;;;;;f+;
продолжиться;;;;;;f+;
продолжаться;;;;;;f+;
длиться;;;;;;f+;
продлиться;;;;;;f+;
ускорить;;;;;;f+;
ускорение;;;;;;f+;
ускориться;;;;;;f+;
ускорять;;;;;;f+;
ускоряться;;;;;;f+;
замедлить;;;;;;f+;
замедление;;;;;;f+;
замедлять;;;;;;f+;
замедлиться;;;;;;f+;
замедляться;;;;;;f+;
подошли к завершению;;;;;;f+;аналогично с временным планом подчиняющего узла
не подошли к завершению;;;;;;f+;аналогично с временным планом подчиняющего узла
подошли к финалу;;;;;;f+;аналогично с временным планом подчиняющего узла
не подошли к финалу;;;;;;f+;аналогично с временным планом подчиняющего узла
вступили в завершающую стадию;;;;;;f+;аналогично с временным планом подчиняющего узла
завершающая стадия;;;;;;f+;аналогично с временным планом подчиняющего узла
не вступили в завершающую стадию;;;;;;f+;аналогично с временным планом подчиняющего узла
;;;;;;;
сомневаться;+;1;;;;f?;
быть уверенным;+;1;;;;f?;
быть убежденным;+;1;;;;f?;
считать маловероятным;+;1;;;;f?;
считать возможным;+;1;;;;f?;
считать невозможным;+;1;;;;f?;
считать вероятным;+;1;;;;f?;
заявить о возможности;+;1;;;;f?;
заявить о невозможности;+;1;;;;f?;
возможно;;;;;;f?;
невозможно;;;;;;f?;
возможность;;;;;;f?;
невозможность;;;;;;f?;
;;;;;;;
состояться;+;1;;;предик;f+;аналогично с временным планом подчиняющего узла
пройти;+;1;;;предик;f+;аналогично с временным планом подчиняющего узла
провести;+;1;;;предик;f+;аналогично с временным планом подчиняющего узла
;;;;;;;
хотеть;+;;;;;undef;будущее
желать;+;;;;;undef;
надеяться;+;;;;;undef;
ожидать;+;;;;;undef;будущее
планировать;+;;;;;undef;будущее
предполагать;+;;;;;undef;
предполагаться;+;;;;;undef;
рассчитывать;+;;;;;undef;будущее
собираться;+;;;;;undef;будущее
бояться;+;;;;;undef
опасаться;+;;;;;undef
волноваться;+;;;;;undef
переживать;+;;;;;undef
быть в состоянии;+;;;;;undef
быть не в состоянии;+;;;;;undef
пытаться;+;;;;;undef
расследовать;+;;;;;undef
откладывать;+;;;;;undef
просить;+;;;;;undef
приказать;+;;;;;undef
обещать;+;;;;;undef
предложить;+;;;;;undef
решить;+;;;;;undef
клясться;+;;;;;undef
вообразить;+;;;;;undef






